Temp	Mu	Sigma	Acceptance	Energy	
0.474	0.092	1.025	0.44	-0.245
0.472	0.064	0.982	0.43	-0.249
0.470	0.059	0.978	0.43	-0.244
0.467	0.056	0.936	0.41	-0.237
0.465	0.064	0.881	0.39	-0.196
0.463	0.002	0.839	0.37	-0.152
0.460	0.002	0.806	0.36	-0.112
0.458	0.026	0.795	0.36	-0.095
0.456	0.025	0.737	0.33	0.004
0.453	0.028	0.785	0.35	-0.081
0.451	0.080	0.835	0.37	-0.152
0.449	0.081	0.819	0.37	-0.134
0.447	0.186	0.793	0.36	-0.120
0.444	0.200	0.822	0.38	-0.159
0.442	0.178	0.786	0.36	-0.108
0.440	0.155	0.808	0.37	-0.133
0.438	0.166	0.742	0.34	-0.042
0.436	0.239	0.788	0.37	-0.132
0.433	0.220	0.737	0.35	-0.056
0.431	0.191	0.747	0.35	-0.056
0.429	0.214	0.738	0.34	-0.054
0.427	0.249	0.715	0.34	-0.036
0.425	0.245	0.666	0.32	0.049
0.423	0.267	0.601	0.30	0.164
0.421	0.267	0.601	0.27	0.164
0.418	0.302	0.669	0.33	-0.007
0.416	0.422	0.634	0.36	-0.095
0.414	0.390	0.588	0.33	0.008
0.412	0.403	0.582	0.33	-0.004
0.410	0.403	0.582	0.30	-0.004
0.408	0.380	0.596	0.33	0.016
0.406	0.350	0.610	0.32	0.033
0.404	0.379	0.674	0.35	-0.090
0.402	0.502	0.646	0.39	-0.209
0.400	0.457	0.689	0.38	-0.191
0.398	0.515	0.691	0.41	-0.247
0.396	0.468	0.643	0.38	-0.163
0.394	0.512	0.633	0.39	-0.211
0.392	0.517	0.660	0.40	-0.235
0.390	0.517	0.708	0.41	-0.259
0.388	0.497	0.656	0.39	-0.211
0.386	0.482	0.712	0.40	-0.231
0.384	0.482	0.712	0.39	-0.231
0.382	0.527	0.743	0.42	-0.278
0.380	0.466	0.697	0.39	-0.205
0.378	0.412	0.674	0.36	-0.123
0.377	0.410	0.690	0.37	-0.143
0.375	0.453	0.684	0.38	-0.185
0.373	0.390	0.625	0.34	-0.044
0.371	0.404	0.618	0.34	-0.052
0.369	0.301	0.632	0.32	0.063
0.367	0.282	0.624	0.31	0.095
0.365	0.294	0.684	0.34	-0.021
0.364	0.284	0.700	0.34	-0.042
0.362	0.292	0.728	0.35	-0.091
0.360	0.213	0.725	0.34	-0.035
0.358	0.215	0.735	0.34	-0.052
0.356	0.194	0.760	0.35	-0.080
0.355	0.200	0.793	0.36	-0.133
0.353	0.261	0.752	0.36	-0.100
0.351	0.279	0.764	0.36	-0.126
0.349	0.377	0.777	0.39	-0.194
0.348	0.417	0.800	0.40	-0.237
0.346	0.366	0.749	0.38	-0.165
0.344	0.372	0.802	0.39	-0.215
0.342	0.264	0.813	0.38	-0.173
0.341	0.270	0.858	0.40	-0.215
0.339	0.158	0.884	0.40	-0.212
0.337	0.143	0.851	0.38	-0.178
0.336	0.147	0.859	0.39	-0.188
0.334	0.141	0.828	0.37	-0.153
0.332	0.127	0.876	0.39	-0.197
0.331	0.119	0.835	0.38	-0.162
0.329	0.118	0.793	0.36	-0.106
0.327	0.111	0.787	0.35	-0.094
0.326	0.107	0.759	0.34	-0.054
0.324	0.107	0.759	0.34	-0.054
0.322	0.186	0.713	0.33	-0.002
0.321	0.205	0.721	0.34	-0.027
0.319	0.234	0.737	0.35	-0.069
0.318	0.228	0.779	0.36	-0.120
0.316	0.210	0.822	0.38	-0.166
0.314	0.206	0.850	0.39	-0.193
0.313	0.213	0.802	0.37	-0.142
0.311	0.254	0.790	0.37	-0.149
0.310	0.255	0.838	0.39	-0.196
0.308	0.185	0.815	0.37	-0.149
0.307	0.204	0.836	0.38	-0.180
0.305	0.232	0.824	0.38	-0.177
0.304	0.249	0.857	0.40	-0.210
0.302	0.332	0.889	0.42	-0.251
0.301	0.334	0.866	0.41	-0.234
0.299	0.404	0.877	0.43	-0.256
0.298	0.391	0.901	0.43	-0.258
0.296	0.388	0.902	0.43	-0.255
0.295	0.413	0.913	0.44	-0.260
0.293	0.478	0.867	0.44	-0.275
0.292	0.472	0.839	0.43	-0.269
0.290	0.485	0.833	0.43	-0.274
0.289	0.533	0.857	0.45	-0.279
0.287	0.539	0.874	0.46	-0.279
0.286	0.517	0.884	0.45	-0.274
0.284	0.536	0.846	0.45	-0.283
0.283	0.511	0.827	0.44	-0.283
0.282	0.523	0.859	0.45	-0.282
0.280	0.520	0.828	0.44	-0.285
0.279	0.559	0.816	0.45	-0.299
0.277	0.526	0.831	0.44	-0.287
0.276	0.486	0.811	0.43	-0.269
0.275	0.488	0.842	0.43	-0.272
0.273	0.501	0.833	0.44	-0.279
0.272	0.474	0.831	0.43	-0.268
0.271	0.478	0.855	0.44	-0.275
0.269	0.534	0.815	0.44	-0.289
0.268	0.580	0.793	0.45	-0.311
0.266	0.585	0.763	0.45	-0.317
0.265	0.551	0.727	0.43	-0.294
0.264	0.594	0.707	0.44	-0.324
0.263	0.594	0.707	0.41	-0.324
0.261	0.550	0.725	0.43	-0.292
0.260	0.523	0.727	0.42	-0.271
0.259	0.550	0.757	0.43	-0.294
0.257	0.575	0.779	0.45	-0.310
0.256	0.608	0.764	0.46	-0.326
0.255	0.597	0.791	0.46	-0.318
0.253	0.615	0.775	0.46	-0.325
0.252	0.666	0.759	0.48	-0.348
0.251	0.679	0.765	0.49	-0.351
0.250	0.634	0.753	0.47	-0.339
0.248	0.631	0.781	0.47	-0.326
0.247	0.674	0.815	0.49	-0.306
0.246	0.706	0.800	0.50	-0.321
0.245	0.694	0.791	0.50	-0.329
0.243	0.709	0.822	0.51	-0.300
0.242	0.709	0.822	0.53	-0.300
0.241	0.672	0.837	0.49	-0.294
0.240	0.671	0.799	0.49	-0.324
0.239	0.626	0.793	0.47	-0.320
0.237	0.622	0.800	0.47	-0.319
0.236	0.654	0.767	0.48	-0.339
0.235	0.636	0.803	0.47	-0.322
0.234	0.671	0.769	0.48	-0.346
0.233	0.706	0.756	0.50	-0.357
