Temp	Mu	Sigma	Acceptance	Energy	
0.004	0.737	0.711	0.52	-0.397
0.004	0.736	0.711	0.52	-0.395
0.004	0.737	0.710	0.52	-0.395
0.004	0.736	0.710	0.51	-0.396
0.004	0.735	0.710	0.51	-0.395
0.004	0.735	0.711	0.51	-0.394
0.004	0.735	0.711	0.51	-0.393
0.004	0.735	0.712	0.51	-0.395
0.004	0.735	0.711	0.51	-0.392
0.004	0.735	0.711	0.51	-0.394
0.004	0.734	0.711	0.51	-0.394
0.004	0.734	0.712	0.51	-0.393
0.004	0.734	0.711	0.51	-0.393
0.004	0.734	0.711	0.51	-0.395
0.004	0.734	0.712	0.51	-0.396
0.004	0.733	0.712	0.51	-0.393
0.004	0.732	0.712	0.51	-0.392
0.003	0.732	0.712	0.51	-0.392
0.003	0.733	0.711	0.51	-0.393
0.003	0.733	0.711	0.51	-0.393
0.003	0.731	0.711	0.51	-0.395
0.003	0.732	0.711	0.51	-0.393
0.003	0.732	0.711	0.51	-0.392
0.003	0.732	0.711	0.51	-0.394
0.003	0.732	0.711	0.51	-0.393
0.003	0.732	0.712	0.51	-0.393
0.003	0.733	0.711	0.51	-0.394
0.003	0.733	0.711	0.51	-0.396
0.003	0.733	0.711	0.51	-0.396
0.003	0.733	0.711	0.51	-0.396
0.003	0.732	0.711	0.51	-0.396
0.003	0.732	0.711	0.51	-0.396
0.003	0.732	0.711	0.51	-0.396
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.393
0.003	0.734	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.394
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.393
0.003	0.733	0.711	0.51	-0.394
0.003	0.733	0.711	0.51	-0.396
0.003	0.733	0.712	0.51	-0.394
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.392
0.003	0.732	0.711	0.51	-0.395
0.003	0.732	0.711	0.51	-0.395
0.003	0.732	0.711	0.51	-0.394
0.003	0.733	0.711	0.51	-0.396
0.003	0.733	0.711	0.51	-0.396
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.395
0.003	0.733	0.711	0.51	-0.393
0.003	0.732	0.711	0.51	-0.391
0.003	0.732	0.712	0.51	-0.392
0.003	0.732	0.712	0.51	-0.392
0.003	0.732	0.712	0.51	-0.395
0.003	0.732	0.711	0.51	-0.392
0.003	0.732	0.711	0.51	-0.394
0.003	0.732	0.711	0.51	-0.393
0.003	0.732	0.712	0.51	-0.395
0.003	0.732	0.712	0.51	-0.395
0.003	0.733	0.712	0.51	-0.394
0.003	0.733	0.712	0.51	-0.393
0.003	0.733	0.712	0.51	-0.390
0.003	0.733	0.713	0.51	-0.391
0.003	0.733	0.713	0.51	-0.393
0.003	0.733	0.713	0.51	-0.393
0.003	0.733	0.713	0.51	-0.393
0.003	0.734	0.713	0.51	-0.393
0.003	0.733	0.713	0.51	-0.394
0.003	0.733	0.713	0.51	-0.394
0.003	0.732	0.713	0.51	-0.394
0.003	0.733	0.713	0.51	-0.394
0.003	0.733	0.713	0.51	-0.394
0.003	0.733	0.713	0.51	-0.393
0.003	0.733	0.713	0.51	-0.393
0.003	0.733	0.713	0.51	-0.393
0.003	0.734	0.713	0.51	-0.394
0.003	0.734	0.713	0.51	-0.394
0.003	0.734	0.713	0.51	-0.394
0.003	0.734	0.713	0.51	-0.394
0.002	0.734	0.713	0.51	-0.394
0.002	0.734	0.712	0.51	-0.396
0.002	0.734	0.712	0.51	-0.396
0.002	0.734	0.712	0.51	-0.396
0.002	0.733	0.712	0.51	-0.390
0.002	0.733	0.712	0.51	-0.393
0.002	0.734	0.712	0.51	-0.394
0.002	0.734	0.712	0.51	-0.395
0.002	0.733	0.713	0.51	-0.395
0.002	0.733	0.713	0.51	-0.395
0.002	0.733	0.712	0.51	-0.394
0.002	0.733	0.712	0.51	-0.393
0.002	0.732	0.712	0.51	-0.390
0.002	0.733	0.712	0.51	-0.392
0.002	0.732	0.712	0.51	-0.393
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.732	0.712	0.51	-0.397
0.002	0.733	0.712	0.51	-0.397
0.002	0.733	0.712	0.51	-0.397
0.002	0.733	0.712	0.51	-0.397
0.002	0.733	0.712	0.51	-0.397
0.002	0.733	0.713	0.51	-0.394
0.002	0.733	0.713	0.51	-0.393
0.002	0.733	0.713	0.51	-0.393
0.002	0.733	0.712	0.51	-0.391
0.002	0.733	0.712	0.51	-0.393
0.002	0.733	0.712	0.51	-0.393
0.002	0.732	0.712	0.51	-0.393
0.002	0.732	0.712	0.51	-0.391
0.002	0.732	0.712	0.51	-0.395
0.002	0.732	0.712	0.51	-0.395
0.002	0.732	0.712	0.51	-0.395
0.002	0.732	0.713	0.51	-0.393
0.002	0.732	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.393
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.731	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.392
0.002	0.732	0.713	0.51	-0.392
0.002	0.732	0.713	0.51	-0.392
0.002	0.732	0.713	0.51	-0.393
0.002	0.733	0.713	0.51	-0.393
0.002	0.732	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.394
0.002	0.732	0.713	0.51	-0.392
0.002	0.732	0.714	0.51	-0.393
0.002	0.732	0.714	0.51	-0.393
0.002	0.732	0.714	0.51	-0.393
0.002	0.732	0.714	0.51	-0.392
0.002	0.732	0.714	0.51	-0.392
0.002	0.732	0.714	0.51	-0.393
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.394
0.002	0.732	0.714	0.51	-0.393
0.002	0.733	0.714	0.51	-0.394
0.002	0.733	0.714	0.51	-0.394
0.002	0.733	0.714	0.51	-0.394
0.002	0.733	0.714	0.51	-0.393
0.002	0.733	0.714	0.51	-0.393
0.002	0.733	0.714	0.51	-0.393
0.002	0.733	0.714	0.51	-0.391
0.002	0.734	0.714	0.51	-0.393
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.394
0.002	0.734	0.714	0.51	-0.392
0.002	0.734	0.714	0.51	-0.392
0.002	0.735	0.714	0.51	-0.392
0.002	0.734	0.714	0.51	-0.393
0.002	0.734	0.714	0.51	-0.393
0.002	0.734	0.714	0.51	-0.393
0.002	0.734	0.714	0.51	-0.393
0.002	0.735	0.714	0.51	-0.392
0.002	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.392
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.395
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.392
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.391
0.001	0.734	0.713	0.51	-0.391
0.001	0.733	0.713	0.51	-0.392
0.001	0.733	0.713	0.51	-0.392
0.001	0.733	0.713	0.51	-0.392
0.001	0.733	0.712	0.51	-0.393
0.001	0.733	0.713	0.51	-0.394
0.001	0.733	0.713	0.51	-0.394
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.396
0.001	0.733	0.713	0.51	-0.395
0.001	0.733	0.712	0.51	-0.394
0.001	0.733	0.712	0.51	-0.394
0.001	0.733	0.712	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.391
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.713	0.51	-0.393
0.001	0.734	0.713	0.51	-0.394
0.001	0.734	0.712	0.51	-0.391
0.001	0.734	0.713	0.51	-0.394
0.001	0.733	0.712	0.51	-0.394
0.001	0.734	0.712	0.51	-0.394
0.001	0.734	0.712	0.51	-0.394
0.001	0.734	0.712	0.51	-0.394
